,NBHD_KEY,NEIGHBORHOOD,CMNTY_KEY,COMMUNITY,total_cnt,white_pct,black_pct,native_pct,asian_pct,other_pct,two_or_more_pct,hispanic_pct,of_color_pct
0,1,ARMATAGE,10,SOUTHWEST,5108.0,0.845,,,,,0.036000000000000004,,0.155
1,10,AUDUBON PARK,7,NORTHEAST,5119.0,0.7879999999999999,0.075,,,,0.059000000000000004,0.08800000000000001,0.212
2,23,BANCROFT,9,POWDERHORN,3544.0,0.7340000000000001,0.11599999999999999,,0.021,,0.078,0.147,0.266
3,33,CEDAR-ISLES-DEAN,1,CALHOUN-ISLE,3195.0,0.9159999999999999,,,,,,,
4,49,CEDAR RSIDE/WEST BANK,11,UNIVERSITY,10059.0,0.32,0.511,,0.115,,0.039,0.027000000000000003,0.68
5,25,CENTRAL,9,POWDERHORN,8238.0,0.433,0.257,,0.024,0.21100000000000002,0.062,0.389,0.5670000000000001
6,50,COMO,11,UNIVERSITY,5975.0,0.722,0.092,,0.149,,0.018000000000000002,0.071,0.278
7,56,COOPER,4,LONGFELLOW,3697.0,0.8140000000000001,,,,,0.031,,0.18600000000000003
8,26,CORCORAN,9,POWDERHORN,4480.0,0.636,0.17,,0.026000000000000002,0.079,0.055999999999999994,0.20600000000000002,0.364
9,61,DIAMOND LAKE,6,NOKOMIS,5767.0,0.768,0.113,,,,,0.084,0.23199999999999998
10,73,DOWNTOWN WEST,3,CENTRAL,8077.0,0.601,0.222,0.022000000000000002,0.11199999999999999,,0.038,0.035,0.39899999999999997
11,2,EAST HARRIET,10,SOUTHWEST,3607.0,0.861,,,,,0.057999999999999996,0.044000000000000004,0.139
12,34,EAST ISLES,1,CALHOUN-ISLE,3750.0,0.889,,,0.027999999999999997,,,,
13,74,ELLIOT PARK,3,CENTRAL,6429.0,0.58,0.307,0.012,0.057,,0.025,0.034,0.42
14,62,ERICSSON,6,NOKOMIS,3472.0,0.851,,,0.027999999999999997,,0.038,0.039,0.149
15,42,FOLWELL,2,CAMDEN,5745.0,0.326,0.46,,0.159,,0.044000000000000004,0.057999999999999996,0.674
16,3,FULTON,10,SOUTHWEST,6354.0,0.9159999999999999,0.023,,0.024,,0.028999999999999998,0.013999999999999999,0.084
17,83,HAWTHORNE,5,NEAR NORTH,4716.0,0.218,0.462,,0.185,0.066,0.037000000000000005,0.102,0.782
18,57,HIAWATHA,4,LONGFELLOW,5859.0,0.816,0.10400000000000001,,0.032,,0.04,0.032,0.184
19,14,HOLLAND,7,NORTHEAST,4786.0,0.546,0.151,0.047,,0.155,0.08,0.198,0.45399999999999996
20,58,HOWE,4,LONGFELLOW,6545.0,0.7959999999999999,0.11199999999999999,,0.025,0.018000000000000002,0.045,0.073,0.204
21,84,JORDAN,5,NEAR NORTH,8600.0,0.175,0.451,,0.205,0.08,0.085,0.132,0.825
22,4,KENNY,10,SOUTHWEST,3851.0,0.857,,,,,,,
23,5,KING FIELD,10,SOUTHWEST,7544.0,0.8270000000000001,0.048,,0.034,0.043,0.044000000000000004,0.066,0.17300000000000001
24,44,LIND-BOHANON,2,CAMDEN,5452.0,0.42700000000000005,0.28,,0.131,,0.14800000000000002,0.066,0.573
25,6,LINDEN HILLS,10,SOUTHWEST,7722.0,0.904,,,0.024,,0.034,,0.096
26,59,LONGFELLOW,4,LONGFELLOW,5059.0,0.645,0.158,,0.027999999999999997,0.081,0.055,0.174,0.355
27,75,LORING PARK,3,CENTRAL,9018.0,0.7340000000000001,0.138,,0.057999999999999996,,0.054000000000000006,0.064,0.266
28,37,LOWRY HILL,1,CALHOUN-ISLE,3897.0,0.843,0.035,,0.035,,0.059000000000000004,,0.157
29,38,LOWRY HILL EAST,1,CALHOUN-ISLE,7144.0,0.7709999999999999,0.133,,0.039,,0.037000000000000005,0.057,0.22899999999999998
30,27,LYNDALE,9,POWDERHORN,7136.0,0.588,0.214,,0.027000000000000003,0.10400000000000001,0.059000000000000004,0.217,0.41200000000000003
31,7,LYNNHURST,10,SOUTHWEST,5797.0,0.887,,,,,0.039,0.027000000000000003,0.113
32,51,MARCY-HOLMES,11,UNIVERSITY,13963.0,0.762,0.065,,0.098,,0.045,0.049,0.23800000000000002
33,79,MIDTOWN PHILLIPS,8,PHILLIPS,5316.0,0.396,0.368,,0.040999999999999995,0.163,0.027000000000000003,0.317,0.604
34,66,MINNEHAHA,6,NOKOMIS,4124.0,0.8079999999999999,0.09699999999999999,,0.015,,0.069,,0.192
35,85,NEAR NORTH,5,NEAR NORTH,7240.0,0.154,0.563,,0.155,0.049,0.057,0.08,0.846
36,76,NORTHLOOP,3,CENTRAL,6165.0,0.763,0.139,,0.039,,0.037000000000000005,0.042,0.237
37,68,NORTHROP,6,NOKOMIS,4670.0,0.7909999999999999,0.078,,0.011000000000000001,,0.033,0.067,0.209
38,80,PHILLIPS WEST,8,PHILLIPS,5464.0,0.263,0.531,,,0.14400000000000002,0.032,0.19699999999999998,0.737
39,28,POWDERHORN PARK,9,POWDERHORN,9904.0,0.564,0.18,,0.013000000000000001,0.18600000000000003,0.038,0.327,0.436
40,54,PROSPECT PK/E RIVER RD,11,UNIVERSITY,14036.0,0.672,0.071,0.006999999999999999,0.19699999999999998,0.009000000000000001,0.043,0.025,0.32799999999999996
