NBHD_KEY,NEIGHBORHOOD,CMNTY_KEY
N71,ARMATAGE,C09
N46,AUDUBON PARK,C06
N63,BANCROFT,C08
N47,BELTRAMI,C06
N48,BOTTINEAU,C06
N64,BRYANT,C08
N00,BRYN MAWR,C00
N09,CAMDEN INDUSTRIAL AREA,C01
N01,CARAG,C00
N80,CEDAR RSIDE/WEST BANK,C10
N02,CEDAR-ISLES-DEAN,C00
N65,CENTRAL,C08
N10,CLEVELAND,C01
N49,COLUMBIA,C06
N81,COMO,C10
N24,COOPER,C03
N66,CORCORAN,C08
N35,DIAMOND LAKE,C05
N18,DOWNTOWN EAST,C02
N19,DOWNTOWN WEST,C02
N72,EAST HARRIET,C09
N03,EAST ISLES,C00
N59,EAST PHILLIPS,C07
N04,ECCO,C00
N20,ELLIOT PARK,C02
N36,ERICSSON,C05
N37,FIELD,C05
N11,FOLWELL,C01
N73,FULTON,C09
N38,HALE,C05
N29,HARRISON,C04
N30,HAWTHORNE,C04
N25,HIAWATHA,C03
N50,HOLLAND,C06
N26,HOWE,C03
N12,HUMBOLDT INDUST AREA,C01
N31,JORDAN,C04
N39,KEEWAYDIN,C05
N74,KENNY,C09
N05,KENWOOD,C00
N75,KING FIELD,C09
N13,LIND-BOHANON,C01
N76,LINDEN HILLS,C09
N51,LOGAN PARK,C06
N27,LONGFELLOW,C03
N21,LORING PARK,C02
N06,LOWRY HILL,C00
N07,LOWRY HILL EAST,C00
N67,LYNDALE,C08
N77,LYNNHURST,C09
N82,MARCY-HOLMES,C10
N52,MARSHALL TERRACE,C06
N14,MCKINLEY,C01
N83,MID CITY INDUSTRIAL AR,C10
N60,MIDTOWN PHILLIPS,C07
N40,MINNEHAHA,C05
N41,MORRIS PARK,C05
N32,NEAR NORTH,C04
N84,NICOLLET IS/EAST BANK,C10
N53,NORTHEAST PARK,C06
N22,NORTHLOOP,C02
N42,NORTHROP,C05
N43,PAGE,C05
N61,PHILLIPS WEST,C07
N68,POWDERHORN PARK,C08
N85,PROSPECT PK/E RIVER RD,C10
N44,REGINA,C05
N28,SEWARD,C03
N54,SHERIDAN,C06
N15,SHINGLE CREEK,C01
N55,ST ANTHONY EAST,C06
N56,ST ANTHONY WEST,C06
N69,STANDISH,C08
N23,STEVENS SQ/LORING HGTS,C02
N33,SUMNER-GLENWOOD,C04
N78,TANGLETOWN,C09
N86,UNIVERSITY,C10
N62,VENTURA VILLAGE,C07
N16,VICTORY,C01
N57,WAITE PARK,C06
N17,WEBBER-CAMDEN,C01
N45,WENONAH,C05
N08,WEST CALHOUN,C00
N70,WHITTIER,C08
N34,WILLARD-HAY,C04
N79,WINDOM,C09
N58,WINDOM PARK,C06
