NBHD_KEY,NEIGHBORHOOD,COMMUNITY
N00,BRYN MAWR,CALHOUN-ISLE
N01,CARAG,CALHOUN-ISLE
N02,CEDAR-ISLES-DEAN,CALHOUN-ISLE
N03,EAST ISLES,CALHOUN-ISLE
N04,ECCO,CALHOUN-ISLE
N05,KENWOOD,CALHOUN-ISLE
N06,LOWRY HILL,CALHOUN-ISLE
N07,LOWRY HILL EAST,CALHOUN-ISLE
N08,WEST CALHOUN,CALHOUN-ISLE
N09,CAMDEN INDUSTRIAL AREA,CAMDEN
N10,CLEVELAND,CAMDEN
N11,FOLWELL,CAMDEN
N12,HUMBOLDT INDUST AREA,CAMDEN
N13,LIND-BOHANON,CAMDEN
N14,MCKINLEY,CAMDEN
N15,SHINGLE CREEK,CAMDEN
N16,VICTORY,CAMDEN
N17,WEBBER-CAMDEN,CAMDEN
N18,DOWNTOWN EAST,CENTRAL
N19,DOWNTOWN WEST,CENTRAL
N20,ELLIOT PARK,CENTRAL
N21,LORING PARK,CENTRAL
N22,NORTHLOOP,CENTRAL
N23,STEVENS SQ/LORING HGTS,CENTRAL
N24,COOPER,LONGFELLOW
N25,HIAWATHA,LONGFELLOW
N26,HOWE,LONGFELLOW
N27,LONGFELLOW,LONGFELLOW
N28,SEWARD,LONGFELLOW
N29,HARRISON,NEAR NORTH
N30,HAWTHORNE,NEAR NORTH
N31,JORDAN,NEAR NORTH
N32,NEAR NORTH,NEAR NORTH
N33,SUMNER-GLENWOOD,NEAR NORTH
N34,WILLARD-HAY,NEAR NORTH
N35,DIAMOND LAKE,NOKOMIS
N36,ERICSSON,NOKOMIS
N37,FIELD,NOKOMIS
N38,HALE,NOKOMIS
N39,KEEWAYDIN,NOKOMIS
N40,MINNEHAHA,NOKOMIS
N41,MORRIS PARK,NOKOMIS
N42,NORTHROP,NOKOMIS
N43,PAGE,NOKOMIS
N44,REGINA,NOKOMIS
N45,WENONAH,NOKOMIS
N46,AUDUBON PARK,NORTHEAST
N47,BELTRAMI,NORTHEAST
N48,BOTTINEAU,NORTHEAST
N49,COLUMBIA,NORTHEAST
N50,HOLLAND,NORTHEAST
N51,LOGAN PARK,NORTHEAST
N52,MARSHALL TERRACE,NORTHEAST
N53,NORTHEAST PARK,NORTHEAST
N54,SHERIDAN,NORTHEAST
N55,ST ANTHONY EAST,NORTHEAST
N56,ST ANTHONY WEST,NORTHEAST
N57,WAITE PARK,NORTHEAST
N58,WINDOM PARK,NORTHEAST
N59,EAST PHILLIPS,PHILLIPS
N60,MIDTOWN PHILLIPS,PHILLIPS
N61,PHILLIPS WEST,PHILLIPS
N62,VENTURA VILLAGE,PHILLIPS
N63,BANCROFT,POWDERHORN
N64,BRYANT,POWDERHORN
N65,CENTRAL,POWDERHORN
N66,CORCORAN,POWDERHORN
N67,LYNDALE,POWDERHORN
N68,POWDERHORN PARK,POWDERHORN
N69,STANDISH,POWDERHORN
N70,WHITTIER,POWDERHORN
N71,ARMATAGE,SOUTHWEST
N72,EAST HARRIET,SOUTHWEST
N73,FULTON,SOUTHWEST
N74,KENNY,SOUTHWEST
N75,KING FIELD,SOUTHWEST
N76,LINDEN HILLS,SOUTHWEST
N77,LYNNHURST,SOUTHWEST
N78,TANGLETOWN,SOUTHWEST
N79,WINDOM,SOUTHWEST
N80,CEDAR RSIDE/WEST BANK,UNIVERSITY
N81,COMO,UNIVERSITY
N82,MARCY-HOLMES,UNIVERSITY
N83,MID CITY INDUSTRIAL AR,UNIVERSITY
N84,NICOLLET IS/EAST BANK,UNIVERSITY
N85,PROSPECT PK/E RIVER RD,UNIVERSITY
N86,UNIVERSITY,UNIVERSITY
