Neighborhood,Website_Link,IncomeLess35000_count,IncomeLess35000_percent,IncomeLess35to49_count,IncomeLess35to49_percent,IncomeLess50to74_count,IncomeLess50to74_percent,IncomeLess75to99_count,IncomeLess75to99_percent,Income100Plus_count,Income100Plus_percent,Median_Income_Total
Armatage,http://www.mncompass.org/profiles/neighborhoods/minneapolis/armatage,"
                        296
                      ","
                        14.5%
                      ","
                        126
                      ","
                        6.2%
                      ","
                        253
                      ","
                        12.4%
                      ","
                        253
                      ","
                        253
                      ","
                        1,117
                      ","
                        54.6%
                      ","
                        $ 125,329
                      "
Audubon Park,http://www.mncompass.org/profiles/neighborhoods/minneapolis/audubon-park,"
                        394
                      ","
                        17.7%
                      ","
                        319
                      ","
                        14.4%
                      ","
                        379
                      ","
                        17.0%
                      ","
                        365
                      ","
                        365
                      ","
                        768
                      ","
                        34.5%
                      ","
                        $ 67,343
                      "
Bancroft,http://www.mncompass.org/profiles/neighborhoods/minneapolis/bancroft,"
                        279
                      ","
                        19.1%
                      ","
                        200
                      ","
                        13.7%
                      ","
                        317
                      ","
                        21.7%
                      ","
                        256
                      ","
                        256
                      ","
                        410
                      ","
                        28.0%
                      ","
                        $ 71,456
                      "
Cedar - Isles - Dean,http://www.mncompass.org/profiles/neighborhoods/minneapolis/cedar-isles-dean,"
                        238
                      ","
                        14.6%
                      ","
                        169
                      ","
                        10.3%
                      ","
                        207
                      ","
                        12.7%
                      ","
                        168
                      ","
                        168
                      ","
                        853
                      ","
                        52.2%
                      ","
                        $ 98,201
                      "
Cedar Riverside,http://www.mncompass.org/profiles/neighborhoods/minneapolis/cedar-riverside,"
                        2,477
                      ","
                        73.0%
                      ","
                        403
                      ","
                        11.9%
                      ","
                        342
                      ","
                        10.1%
                      ","
                        suppressed
                      ","
                        suppressed
                      ","
                        suppressed
                      ","
","
                        $ 24,944
                      "
Central,http://www.mncompass.org/profiles/neighborhoods/minneapolis/central,"
                        754
                      ","
                        31.4%
                      ","
                        323
                      ","
                        13.5%
                      ","
                        490
                      ","
                        20.4%
                      ","
                        313
                      ","
                        313
                      ","
                        522
                      ","
                        21.7%
                      ","
                        $ 51,864
                      "
Como,http://www.mncompass.org/profiles/neighborhoods/minneapolis/como,"
                        851
                      ","
                        38.7%
                      ","
                        462
                      ","
                        21.0%
                      ","
                        358
                      ","
                        16.3%
                      ","
                        266
                      ","
                        266
                      ","
                        261
                      ","
                        11.9%
                      ","
                        $ 57,601
                      "
Cooper,http://www.mncompass.org/profiles/neighborhoods/minneapolis/cooper,"
                        294
                      ","
                        18.5%
                      ","
                        202
                      ","
                        12.7%
                      ","
                        286
                      ","
                        18.0%
                      ","
                        198
                      ","
                        198
                      ","
                        613
                      ","
                        38.5%
                      ","
                        $ 77,818
                      "
Corcoran,http://www.mncompass.org/profiles/neighborhoods/minneapolis/corcoran,"
                        467
                      ","
                        27.9%
                      ","
                        277
                      ","
                        16.5%
                      ","
                        332
                      ","
                        19.8%
                      ","
                        223
                      ","
                        223
                      ","
                        376
                      ","
                        22.4%
                      ","
                        $ 55,278
                      "
Diamond Lake,http://www.mncompass.org/profiles/neighborhoods/minneapolis/diamond-lake,"
                        314
                      ","
                        14.5%
                      ","
                        156
                      ","
                        7.2%
                      ","
                        432
                      ","
                        19.9%
                      ","
                        316
                      ","
                        316
                      ","
                        947
                      ","
                        43.7%
                      ","
                        $ 97,162
                      "
Downtown West,http://www.mncompass.org/profiles/neighborhoods/minneapolis/downtown-west,"
                        1,255
                      ","
                        29.5%
                      ","
                        310
                      ","
                        7.3%
                      ","
                        696
                      ","
                        16.4%
                      ","
                        467
                      ","
                        467
                      ","
                        1,528
                      ","
                        35.9%
                      ","
                        $ 60,383
                      "
ECCO,http://www.mncompass.org/profiles/neighborhoods/minneapolis/ecco,,,,,,,,,,,
East Harriet,http://www.mncompass.org/profiles/neighborhoods/minneapolis/east-harriet,"
                        247
                      ","
                        15.7%
                      ","
                        186
                      ","
                        11.8%
                      ","
                        240
                      ","
                        15.2%
                      ","
                        234
                      ","
                        234
                      ","
                        669
                      ","
                        42.5%
                      ","
                        $ 83,206
                      "
East Isles,http://www.mncompass.org/profiles/neighborhoods/minneapolis/east-isles,"
                        297
                      ","
                        16.0%
                      ","
                        207
                      ","
                        11.1%
                      ","
                        292
                      ","
                        15.7%
                      ","
                        192
                      ","
                        192
                      ","
                        871
                      ","
                        46.9%
                      ","
                        $ 79,964
                      "
Elliot Park,http://www.mncompass.org/profiles/neighborhoods/minneapolis/elliot-park,"
                        2,005
                      ","
                        58.8%
                      ","
                        305
                      ","
                        9.0%
                      ","
                        269
                      ","
                        7.9%
                      ","
                        199
                      ","
                        199
                      ","
                        629
                      ","
                        18.5%
                      ","
                        $ 37,119
                      "
Ericsson,http://www.mncompass.org/profiles/neighborhoods/minneapolis/ericsson,"
                        219
                      ","
                        14.3%
                      ","
                        157
                      ","
                        10.2%
                      ","
                        329
                      ","
                        21.4%
                      ","
                        195
                      ","
                        195
                      ","
                        635
                      ","
                        41.4%
                      ","
                        $ 80,294
                      "
Folwell,http://www.mncompass.org/profiles/neighborhoods/minneapolis/folwell,"
                        689
                      ","
                        36.2%
                      ","
                        441
                      ","
                        23.1%
                      ","
                        355
                      ","
                        18.7%
                      ","
                        223
                      ","
                        223
                      ","
                        196
                      ","
                        10.3%
                      ","
                        $ 40,938
                      "
Fulton,http://www.mncompass.org/profiles/neighborhoods/minneapolis/fulton,"
                        280
                      ","
                        10.9%
                      ","
                        133
                      ","
                        5.2%
                      ","
                        206
                      ","
                        8.0%
                      ","
                        262
                      ","
                        262
                      ","
                        1,696
                      ","
                        65.8%
                      ","
                        $ 136,824
                      "
Hawthorne,http://www.mncompass.org/profiles/neighborhoods/minneapolis/hawthorne,"
                        876
                      ","
                        57.2%
                      ","
                        178
                      ","
                        11.6%
                      ","
                        193
                      ","
                        12.6%
                      ","
                        117
                      ","
                        117
                      ","
                        166
                      ","
                        10.9%
                      ","
                        $ 40,378
                      "
Hiawatha,http://www.mncompass.org/profiles/neighborhoods/minneapolis/hiawatha,"
                        700
                      ","
                        25.6%
                      ","
                        254
                      ","
                        9.3%
                      ","
                        547
                      ","
                        20.0%
                      ","
                        316
                      ","
                        316
                      ","
                        921
                      ","
                        33.7%
                      ","
                        $ 72,512
                      "
Holland,http://www.mncompass.org/profiles/neighborhoods/minneapolis/holland,"
                        721
                      ","
                        39.0%
                      ","
                        187
                      ","
                        10.1%
                      ","
                        367
                      ","
                        19.9%
                      ","
                        279
                      ","
                        279
                      ","
                        293
                      ","
                        15.9%
                      ","
                        $ 55,987
                      "
Howe,http://www.mncompass.org/profiles/neighborhoods/minneapolis/howe,"
                        757
                      ","
                        25.2%
                      ","
                        328
                      ","
                        10.9%
                      ","
                        568
                      ","
                        18.9%
                      ","
                        424
                      ","
                        424
                      ","
                        924
                      ","
                        30.8%
                      ","
                        $ 71,004
                      "
Jordan,http://www.mncompass.org/profiles/neighborhoods/minneapolis/jordan,"
                        1,010
                      ","
                        43.6%
                      ","
                        327
                      ","
                        14.1%
                      ","
                        422
                      ","
                        18.2%
                      ","
                        253
                      ","
                        253
                      ","
                        305
                      ","
                        13.2%
                      ","
                        $ 45,907
                      "
Kenny,http://www.mncompass.org/profiles/neighborhoods/minneapolis/kenny,"
                        191
                      ","
                        12.9%
                      ","
                        92
                      ","
                        6.2%
                      ","
                        171
                      ","
                        11.6%
                      ","
                        165
                      ","
                        165
                      ","
                        862
                      ","
                        58.2%
                      ","
                        $ 112,545
                      "
King Field,http://www.mncompass.org/profiles/neighborhoods/minneapolis/king-field,"
                        607
                      ","
                        18.2%
                      ","
                        401
                      ","
                        12.0%
                      ","
                        523
                      ","
                        15.7%
                      ","
                        467
                      ","
                        467
                      ","
                        1,331
                      ","
                        40.0%
                      ","
                        $ 83,495
                      "
Lind - Bohanon,http://www.mncompass.org/profiles/neighborhoods/minneapolis/lind-bohanon,"
                        690
                      ","
                        37.9%
                      ","
                        428
                      ","
                        23.5%
                      ","
                        272
                      ","
                        14.9%
                      ","
                        188
                      ","
                        188
                      ","
                        242
                      ","
                        13.3%
                      ","
                        $ 52,892
                      "
Linden Hills,http://www.mncompass.org/profiles/neighborhoods/minneapolis/linden-hills,"
                        510
                      ","
                        14.5%
                      ","
                        236
                      ","
                        6.7%
                      ","
                        568
                      ","
                        16.2%
                      ","
                        401
                      ","
                        401
                      ","
                        1,792
                      ","
                        51.1%
                      ","
                        $ 127,961
                      "
Longfellow,http://www.mncompass.org/profiles/neighborhoods/minneapolis/longfellow,"
                        801
                      ","
                        35.1%
                      ","
                        277
                      ","
                        12.1%
                      ","
                        411
                      ","
                        18.0%
                      ","
                        297
                      ","
                        297
                      ","
                        494
                      ","
                        21.7%
                      ","
                        $ 59,890
                      "
Loring Park,http://www.mncompass.org/profiles/neighborhoods/minneapolis/loring-park,"
                        2,650
                      ","
                        42.3%
                      ","
                        536
                      ","
                        8.6%
                      ","
                        1,089
                      ","
                        17.4%
                      ","
                        597
                      ","
                        597
                      ","
                        1,387
                      ","
                        22.2%
                      ","
                        $ 48,774
                      "
