,neighborhood,neighborhood_id,police_incidents_count
0,ARMATAGE,1,427
1,AUDUBON PARK,10,770
2,BANCROFT,23,674
3,BELTRAMI,11,324
4,BOTTINEAU,12,429
5,BRYANT,24,495
6,BRYN MAWR,31,424
7,CAMDEN INDUSTRIAL AREA,40,143
8,CEDAR - ISLES - DEAN,33,596
9,CEDAR RIVERSIDE,49,2007
10,CENTRAL,25,2061
11,CLEVELAND,41,819
12,COLUMBIA,13,245
13,COMO,50,1357
14,COOPER,56,685
15,CORCORAN,26,1073
16,DIAMOND LAKE,61,638
17,DOWNTOWN EAST,72,1086
18,DOWNTOWN WEST,73,12236
19,EAST HARRIET,2,557
20,EAST ISLES,34,1313
21,EAST PHILLIPS,78,2092
22,ECCO,35,908
23,ELLIOT PARK,74,2164
24,ERICSSON,62,567
25,FIELD,63,382
26,FOLWELL,42,1950
27,FULTON,3,596
28,HALE,64,286
29,HARRISON,82,981
30,HAWTHORNE,83,2628
31,HIAWATHA,57,1393
32,HOLLAND,14,1070
33,HOWE,58,1190
34,HUMBOLDT INDUST AREA,43,37
35,JORDAN,84,3046
36,KEEWAYDIN,65,478
37,KENNY,4,336
38,KENWOOD,36,177
39,KING FIELD,5,1287
40,LIND - BOHANON,44,1346
41,LINDEN HILLS,6,696
42,LOGAN PARK,15,461
43,LONGFELLOW,59,3527
44,LORING PARK,75,2622
45,LOWRY HILL,37,746
46,LOWRY HILL EAST,38,3219
47,LYNDALE,27,1953
48,LYNNHURST,7,495
49,MARCY HOLMES,51,3498
50,MARSHALL TERRACE,16,329
51,MCKINLEY,45,1132
52,MID CITY INDUSTRIAL AR,52,412
53,MIDTOWN PHILLIPS,79,2169
54,MINNEHAHA,66,646
55,MORRIS PARK,67,315
56,NEAR - NORTH,85,2897
57,NICOLLET IS/EAST BANK,53,540
58,NORTH LOOP,76,2261
59,NORTHEAST PARK,17,889
60,NORTHROP,68,907
61,PAGE,69,176
62,PHILLIPS WEST,80,1428
63,POWDERHORN PARK,28,2419
64,PROSPECT PARK - EAST RIVER ROAD,54,1906
65,REGINA,70,389
66,SEWARD,60,2367
67,SHERIDAN,18,622
68,SHINGLE CREEK,46,529
69,SOUTH UPTOWN,32,1713
70,ST ANTHONY EAST,19,364
71,ST ANTHONY WEST,20,411
72,STANDISH,29,1221
73,STEVEN'S SQUARE - LORING HEIGHTS,77,1195
74,SUMNER - GLENWOOD,86,390
75,TANGLETOWN,8,672
76,UNIVERSITY,55,606
77,VENTURA VILLAGE,81,2378
78,VICTORY,47,860
79,WAITE PARK,21,571
80,WEBBER - CAMDEN,48,1615
81,WENONAH,71,666
82,WEST CALHOUN,39,447
83,WHITTIER,30,4790
84,WILLARD - HAY,87,2273
85,WINDOM,9,902
86,WINDOM PARK,22,812
