subject_race,type_of_resistance,police_incidents_count,,
Asian,Assaulted Officer,64,,
Asian,Assaulted Officer                                                              ,8,,
Asian,Assaulted Police Horse                                                         ,1,,
Asian,Commission of Crime,2,,
Asian,Commission of Crime,96,,
Asian,Fled in Vehicle,20,,
Asian,Fled on Foot,69,,
Asian,Fled on Foot,1,,
Asian,Other                                                                          ,7,,
Asian,Tensed,60,,
Asian,Tensed,8,,
Asian,Verbal Non-Compliance,41,,
Asian,Verbal Non-Compliance,11,,
Black,Assaulted Officer,1491,,
Black,Assaulted Officer                                                              ,251,,
Black,Assaulted Police Horse                                                         ,1,,
Black,Assaulted Police Horse                                                         ,17,,
Black,Assaulting Police K9,11,,
Black,Commission of Crime,314,,
Black,Commission of Crime,3591,,
Black,Commission of Crime,17,,
Black,Fled in Vehicle,54,,
Black,Fled in Vehicle,514,,
Black,Fled on Foot,2821,,
Black,Fled on Foot,379,,
Black,Other                                                                          ,358,,
Black,Tensed,3988,,
Black,Tensed,7,,
Black,Tensed,595,,
Black,Verbal Non-Compliance,1678,,
Black,Verbal Non-Compliance,2,,
Black,Verbal Non-Compliance,296,,
Native American,Assaulted Officer,156,,
Native American,Assaulted Officer                                                              ,17,,
Native American,Commission of Crime,17,,
Native American,Commission of Crime,277,,
Native American,Fled in Vehicle,1,,
Native American,Fled in Vehicle,44,,
Native American,Fled on Foot,203,,
Native American,Fled on Foot,38,,
Native American,Other                                                                          ,53,,
Native American,Tensed,378,,
Native American,Tensed,1,,
Native American,Tensed,54,,
Native American,Verbal Non-Compliance,136,,
Native American,Verbal Non-Compliance,19,,
Other / Mixed Race,Assaulted Officer,85,,
Other / Mixed Race,Assaulted Police Horse                                                         ,6,,
Other / Mixed Race,Assaulting Police K9,1,,
Other / Mixed Race,Commission of Crime,296,,
Other / Mixed Race,Fled in Vehicle,35,,
Other / Mixed Race,Fled on Foot,112,,
Other / Mixed Race,Tensed,4,,
Other / Mixed Race,Tensed,320,,
Other / Mixed Race,Verbal Non-Compliance,158,,
Pacific Islander,Tensed,2,,
Pacific Islander,Verbal Non-Compliance,1,,
White,Assaulted Officer,833,,
White,Assaulted Officer                                                              ,189,,
White,Assaulted Police Horse                                                         ,25,,
White,Commission of Crime,92,,
White,Commission of Crime,1164,,
White,Commission of Crime,3,,
White,Fled in Vehicle,22,,
White,Fled in Vehicle,115,,
White,Fled on Foot,694,,
White,Fled on Foot,107,,
White,Other                                                                          ,206,,
White,Tensed,3,,
White,Tensed,2053,,
White,Tensed,2,,
White,Tensed,270,,
White,Verbal Non-Compliance,607,,
White,Verbal Non-Compliance,75,,
