subject_age,police_incidents_count
-1952,2
0,2120
6,2
7,2
9,6
10,3
11,5
12,18
13,113
14,248
15,430
16,581
17,659
18,1142
19,994
20,1445
21,1762
22,1398
23,1382
24,1406
25,1448
26,1191
27,1090
28,1103
29,933
30,916
31,760
32,712
33,667
34,571
35,581
36,542
37,475
38,512
39,390
40,365
41,339
42,394
43,337
44,290
45,301
46,288
47,245
48,272
49,212
50,190
51,199
52,159
53,175
54,144
55,104
56,73
57,54
58,42
59,48
60,45
61,24
62,15
63,33
64,15
65,16
66,22
67,15
69,1
70,6
71,3
72,2
73,5
74,5
77,3
82,4
