description,offense,Lat,Long,community_id,incident_id,neighborhood_id
1ST DEG DOMES ASLT            ,DASLT1  ,44.952822954999995,-93.27724038166667,7.333333333333333,20848.0,31.833333333333332
1st Deg Domes Asslt,DASLT1,44.96137710916667,-93.26162789333334,6.833333333333333,10203.75,47.583333333333336
2ND DEG DOMES ASLT            ,DASLT2  ,44.983493440379426,-93.27892785569098,5.357723577235772,22356.636856368565,57.96747967479675
2nd Deg Domes Aslt,DASLT2,44.982869991960555,-93.27976606940845,5.28039430449069,9225.431544359255,59.943044906900326
3RD DEG DOMES ASLT            ,DASLT3  ,44.972768619127514,-93.27119922865768,5.557046979865772,22403.0,58.92617449664429
3rd Deg Domes Aslt,DASLT3,44.97555747388887,-93.27545885583334,5.875,8688.069444444445,59.5462962962963
ACCESS/ALTER SYSTEM/NETWORK   ,COMPUT  ,44.95364977,-93.26398499333334,4.666666666666667,35497.0,75.33333333333333
ARSON                         ,ARSON   ,44.982220110671655,-93.2766299996268,5.343283582089552,19665.358208955226,57.74626865671642
ARSON-1ST DEGREE              ,ARSON   ,45.00256756500001,-93.2949768,5.0,27576.0,84.0
ASLT-GREAT BODILY HM          ,ASLT1   ,44.97171057657142,-93.27186683514283,5.542857142857143,20823.4,58.6
ASLT-SGNFCNT BDLY HM          ,ASLT3   ,44.9725624371118,-93.27013940055895,5.099378881987578,20932.686335403727,62.816770186335404
ASLT4-LESS THAN SUBST HARM    ,ASLT4   ,44.972251168323695,-93.26756656670523,5.572254335260116,24048.959537572253,59.58381502890173
ASLT4-SUBST HARM OR WEAPON    ,ASLT4   ,44.9768439275,-93.28165305964285,4.571428571428571,19454.035714285714,62.25
ASSLT W/DNGRS WEAPON          ,ASLT2   ,44.95133525307528,-93.21329989306187,5.298630136986302,21167.43904109589,61.18356164383562
AUTOMOBILE THEFT              ,AUTOTH  ,44.92955846742009,-93.18348987165427,6.010522496371553,23173.626814223513,52.962808417997095
Arson,ARSON,44.978347988703696,-93.28134002126538,5.416666666666667,9593.645061728395,56.2037037037037
