household_income_by_neighborhood_id,neighborhood_id,incomeless35000_count,incomeless35000_percent,incomeless35to49_count,incomeless35to49_percent,incomeless50to74_count,incomeless50to74_percent,incomeless75to99_count,incomeless75to99_percent,income100plus_count,income100plus_percent,median_income_total
1,1,296.0,14.5,126.0,6.2,253.0,12.4,253.0,253.0,1117.0,54.6,125329.0
2,10,394.0,17.7,319.0,14.4,379.0,17.0,365.0,365.0,768.0,34.5,67343.0
3,23,279.0,19.1,200.0,13.7,317.0,21.7,256.0,256.0,410.0,28.0,71456.0
4,33,238.0,14.6,169.0,10.3,207.0,12.7,168.0,168.0,853.0,52.2,98201.0
5,49,2477.0,73.0,403.0,11.9,342.0,10.1,,,,,24944.0
6,25,754.0,31.4,323.0,13.5,490.0,20.4,313.0,313.0,522.0,21.7,51864.0
7,50,851.0,38.7,462.0,21.0,358.0,16.3,266.0,266.0,261.0,11.9,57601.0
8,56,294.0,18.5,202.0,12.7,286.0,18.0,198.0,198.0,613.0,38.5,77818.0
9,26,467.0,27.9,277.0,16.5,332.0,19.8,223.0,223.0,376.0,22.4,55278.0
10,61,314.0,14.5,156.0,7.2,432.0,19.9,316.0,316.0,947.0,43.7,97162.0
11,73,1255.0,29.5,310.0,7.3,696.0,16.4,467.0,467.0,1528.0,35.9,60383.0
12,35,,,,,,,,,,,
13,2,247.0,15.7,186.0,11.8,240.0,15.2,234.0,234.0,669.0,42.5,83206.0
14,34,297.0,16.0,207.0,11.1,292.0,15.7,192.0,192.0,871.0,46.9,79964.0
15,74,2005.0,58.8,305.0,9.0,269.0,7.9,199.0,199.0,629.0,18.5,37119.0
16,62,219.0,14.3,157.0,10.2,329.0,21.4,195.0,195.0,635.0,41.4,80294.0
17,42,689.0,36.2,441.0,23.1,355.0,18.7,223.0,223.0,196.0,10.3,40938.0
18,3,280.0,10.9,133.0,5.2,206.0,8.0,262.0,262.0,1696.0,65.8,136824.0
19,83,876.0,57.2,178.0,11.6,193.0,12.6,117.0,117.0,166.0,10.9,40378.0
20,57,700.0,25.6,254.0,9.3,547.0,20.0,316.0,316.0,921.0,33.7,72512.0
21,14,721.0,39.0,187.0,10.1,367.0,19.9,279.0,279.0,293.0,15.9,55987.0
22,58,757.0,25.2,328.0,10.9,568.0,18.9,424.0,424.0,924.0,30.8,71004.0
23,84,1010.0,43.6,327.0,14.1,422.0,18.2,253.0,253.0,305.0,13.2,45907.0
