,community_id,total_cnt,white_pct,black_pct,native_pct,asian_pct,other_pct,two_or_more_pct,hispanic_pct,of_color_pct
0,1,32417.0,0.861,0.049,,0.033,0.013000000000000001,0.04,0.036000000000000004,0.139
1,2,30760.0,0.441,0.34700000000000003,0.011000000000000001,0.114,0.022000000000000002,0.064,0.077,0.5589999999999999
2,3,35323.0,0.662,0.20199999999999999,0.011000000000000001,0.068,0.012,0.044000000000000004,0.047,0.33799999999999997
3,4,29017.0,0.703,0.19,0.01,0.027999999999999997,0.031,0.037000000000000005,0.07200000000000001,0.297
4,5,35930.0,0.23,0.479,0.018000000000000002,0.153,0.052000000000000005,0.068,0.105,0.77
5,6,38800.0,0.7959999999999999,0.09,0.016,0.02,0.031,0.046,0.055999999999999994,0.204
6,7,37451.0,0.7490000000000001,0.105,0.018000000000000002,0.027999999999999997,0.053,0.048,0.106,0.251
7,8,22063.0,0.28600000000000003,0.435,0.057,0.034,0.154,0.034,0.259,0.7140000000000001
8,9,57183.0,0.59,0.198,0.013999999999999999,0.024,0.12300000000000001,0.05,0.228,0.41
9,10,49706.0,0.86,0.046,,0.033,0.019,0.037000000000000005,0.040999999999999995,0.14
10,11,47041.0,0.635,0.165,0.01,0.14,0.01,0.04,0.039,0.365
